2020-12-02-09:18:35,PROJECT-XXXXX,admin
2020-12-02-09:18:53,PROJECT-XXXXX,admin
2020-12-02-09:19:13,PROJECT-XXXXX,testuser
2020-12-02-09:21:12,PROJECT-XXXXX,admin
2020-12-02-09:24:40,PROJECT-XXXXX,admin
2020-12-02-09:25:20,PROJECT-XXXXX,testuser
2020-12-02-09:33:21,PROJECT-XXXXX,admin
2020-12-02-09:40:30,PROJECT-XXXXX,admin
2020-12-02-09:43:13,PROJECT-XXXXX,admin
2020-12-02-09:48:34,PROJECT-XXXXX,testuser
2020-12-02-09:48:40,PROJECT-XXXXX,testuser
2020-12-02-09:50:00,PROJECT-XXXXX,testuser
2020-12-02-09:50:08,PROJECT-XXXXX,testuser
2020-12-02-09:51:11,PROJECT-XXXXX,testuser
2020-12-02-09:51:16,PROJECT-XXXXX,testuser
2020-12-02-09:51:30,PROJECT-XXXXX,testuser
2020-12-02-09:52:02,PROJECT-XXXXX,admin
2020-12-02-09:52:11,PROJECT-XXXXX,admin
2020-12-02-09:52:28,PROJECT-XXXXX,admin
2020-12-05-13:34:55,PROJECT-XXXXX,testuser
2020-12-05-13:35:17,PROJECT-XXXXX,testuser
2021-01-17-15:08:53,PROJECT-XXXXX,testuser
2021-01-17-15:09:20,PROJECT-XXXXX,testuser
2021-01-17-15:09:34,PROJECT-XXXXX,testuser
2021-01-17-15:10:14,PROJECT-XXXXX,testuser
2021-01-17-15:14:24,PROJECT-XXXXX,testuser
2021-01-17-23:03:43,PROJECT-XXXXX,admin
2021-01-17-23:03:57,PROJECT-XXXXX,admin
2021-01-17-23:05:30,PROJECT-XXXXX,admin
2021-01-17-23:05:42,PROJECT-XXXXX,admin
2021-01-17-23:05:49,PROJECT-XXXXX,admin
2021-01-17-23:05:53,PROJECT-XXXXX,admin
2021-01-17-23:05:59,PROJECT-XXXXX,admin
2021-01-17-23:06:07,PROJECT-XXXXX,admin
2021-01-17-23:45:07,PROJECT-XXXXX,admin
2021-01-17-23:45:16,PROJECT-XXXXX,admin
2021-01-17-23:45:20,PROJECT-XXXXX,admin
2021-01-17-23:46:34,PROJECT-XXXXX,admin
2021-01-17-23:46:38,PROJECT-XXXXX,admin
2021-01-17-23:46:47,PROJECT-XXXXX,admin
2021-01-17-23:46:50,PROJECT-XXXXX,admin
2021-01-17-23:46:55,PROJECT-XXXXX,admin
2021-01-17-23:46:58,PROJECT-XXXXX,admin
2021-01-17-23:47:06,PROJECT-XXXXX,admin
2021-01-17-23:47:08,PROJECT-XXXXX,admin
2021-01-17-23:51:18,PROJECT-XXXXX,admin
2021-01-17-23:51:25,PROJECT-XXXXX,admin
2021-01-17-23:52:25,PROJECT-XXXXX,admin
2021-01-17-23:52:30,PROJECT-XXXXX,admin
2021-01-17-23:52:38,PROJECT-XXXXX,admin
2021-01-17-23:52:40,PROJECT-XXXXX,admin
